rumi,predicted,true
aba-daba,اب٢,اب-داب
abad,ابد,ابعد
abad,ابد,ابعاض
abadi,ابدي,ابادي
keabadian,کعبادين,کابادين
pengabadian,ڤڠبادين,ڤڠابادين
terabadi,ترعبدي,ترابادي
abadiat,عبدية,ابدية
abdal,ابدل,ابدال
abdas,ابداس,ابدس
berabdas,برعبدس,برابدس
abiad,عبيد,ابيض
abidin,عبيدين,عابدين
abiogenesis,ابيوݢينيسيس,ابيوݢينسيس
pengabjadan,ڤڠبجادن,ڤڠبجدن
abonemen,ابونمن,ابونمين
berabonemen,برابونمن,برابونمين
abrar,ابر,ابرار
abuya,ابويا,ابوي
abyad,ابيد,ابيض
acukan,اچوقن,اچوکن
ada-berada,اد-برادا,اد-براد
berada,برادا,براد
berada-ada,برادا-ادا,برادا-اد
mengada-ada,مڠادا-ادا,مڠادا-اد
adab,عدب,ادب
beradab,برعدب,برادب
keadaban,کعدبن,کادبن
adai-badai,اداي٢,اداي-باداي
adalat,عدالت,عدالة
adan,عدن,ادن
adas,ادس,عدس
adiabatik,اديابتيک,ادياباتيک
peradilan,ڤراديلن,ڤرعاديلن
adinterim,ادينتريم,ايداينتريم
adiwangsa,اديواڠسا,اديوڠسا
adjuster,ادجوستر,ايدجوستر
mengadoi-adoi,مڠادوي-ادوءي,مڠادوي-ادوي
advalorem,ادۏالورم,ايدۏالورم
aeroponik,ايروڤونيک,ايروفونيک
afakia,افقيا,افاکيا
afal,افل,افعال
afasia,افسيا,افاسيا
keafdalan,کافدلن,کافضلن
afdeling,افدليڠ,افديليڠ
afrit,افريت,عفريت
agregat,اݢرݢت,اݢريݢت
pengagresif,ڤڠݢريسيف,ڤڠاݢريسيف
ahad,احد,اهد
mengahadkan,مڠحدکن,مڠاهدکن
ahad,احد,عهد
ahadah,اهدة,اهده
ahkam,اهکم,اهکام
ahlanwasahlan,اهلامواصحلن,اهلاموسهلام
berahli,برهلي,براهلي
ahmak,اهمق,احمق
ahmar,اهمر,احمر
ahwal,اهوال,احوال
diaibkan,دعاءينکن,دعاءيبکن
aileron,ايلرون,اءيلرون
ain-al-banat,اءين٢,عينالبنات
ainulbanat,عينالبنة,عينالبنات
aisberg,اءيسبرݢ,اءسبرݢ
aiya,اءي,اءييا
ajab,عجب,اجب
ajahan,اجهن,اجاهن
ajaib,عجاعب,عجاءيب
ajmain,اجمعن,اجمعين
akah,عقه,اکه
akaid,عقاعد,عقائد
akal,اکل,عقل
akal-akalan,عقل-کالن,عقل-عقلن
berakal,براکل,برعقل
diakali,داکلي,دعقلي
seakal,ساکل,سعقل
seakal-akal,سعقل٢,سعقل-عقل
terakalkan,تراکلکن,ترعقلکن
akarat,اکارت,اکارة
akas,اکس,عکس
keakasan,کعقسن,کعکسن
akhbar,اخبر,اخبار
akhdar,اخدر,اخضر
mengakhiri,مڠخيري,مڠاخيري
akhiz,اخيز,اخيذ
akibah,عقيبه,عاقبة
diakibatkan,دعاقبکن,دعاقبتکن
akidah,عقيده,عقيدة
berakidah,برعقيده,برعقيدة
akik,اکيق,عقيق
akil,اکيل,عاقل
akla,اکلا,اعلى
aklam,اعلام,اعلم
akrab,اقرب,عقرب
akraf,اکرف,اعراف
diakronim,دياکرونيم,داکرونيم
aktuil,اکتوءيل,اکتويل
akuaregia,اکوارݢيا,اکواريݢيا
akuarel,اکوارل,اکواريل
akueus,اکووييس,اکووييوس
akuifer,اکويفر,اکوايفر
akwal,اکوال,اقوال
akzam,عقظم,اعظم
ala,الا,على
terala,ترالا,ترعلى
alacarte,الاچرتي,الاکرت
alaf,الف,الاف
alai-balai,الاي٢,الاي-بالاي
alai-belai,الاي٢,الاي-بلاي
alaihi,علاءيحي,عليه
alaihissalam,علائهالسلام,عليهالسلام
alaika,علايکا,عليک
alaikum,علائکم,عليکم
sealak-alak,سالق٢,سالق-الق
alakulihal,علاکلاله,علىکلهال
mengalami,مڠعلامي,مڠالمي
alamak,علامق,الامق
alaman,المن,الامن
dialamati,دعلمتي,دعلامتي
alamatulhayat,علامةالحية,علامةالحياة
alamiah,علامية,عالمية
dialasi,ديالسي,دالسي
al-baibithamanajil,البيبثةمناجالجل,البيعبثمنعاجل
albedo,البدو,البيدو
albumen,البومن,البومين
alergenik,الرݢنيک,اليرݢنيک
alfa,الفا,الف
alfu,الفو,الف
alga,الݢ,الݢا
alibaba,عالباب,عليباب
mengalibabakan,مڠاليباباکن,مڠعليباباکن
alif-ba-ta,اليف-باء-ات,اليف-باء-تاء
al-ijarah,العجارة,الاجارة
alim,اليم,عاليم
alimentari,اليمنتاري,اليمينتاري
alimiat,اليميات,عالمية
al-kafalah,الکفلة,الکفالة
kealkalian,کعلکالين,کالکالين
alkamar,الکمر,القمر
alkari,الکري,الکاري
al-kasyaf,الکشف,الکشاف
alkonya,الکوڽ,الکوڽا
allahuakbar,اللهاعر,اللهاکبر
allahyarhamah,اللهيرهامه,اللهيرهمه
allamah,اللامه,علامة
almalun,الملون,الملعون
almanak,المانق,المناک
al-mudarabah,المضربة,المضاربة
al-murabahah,المربهة,المرابحة
alpaka,الڤاک,الڤاکا
al-quran,القران,القرءان
alterego,التريݢو,الترايݢو
alveolus,الۏويولوس,الوۏيولوس
al-wadiah,الودية,الوديعة
al-wakalah,الواکله,الوکالة
alwasi,الواسي,الوصي
alwasia,الواسيا,الوصي
pengamal,ڤڠامل,ڤڠعمل
amalgam,عملݢم,املݢم
memperaman,ممڤرامن,ممڤرامان
pengaman,ڤڠامن,ڤڠامان
keamatan,کعامتن,کامتن
ambekan,امبيقن,امبقن
amben,امبين,امبن
ambil-mengambil,امبيل٢مي,امبيل-مڠمبيل
mengambungkan,مڠامبوڠکن,مڠمبوڠکن
amek,امق,اميق
amendemen,اميندمن,اميندمين
amenorea,امينوريا,امنوريا
keamerikaan,کامريکاءن,کاميريکاءن
amfoterik,امفوتريک,امفوتيريک
amil,اميل,عامل
amirulbahar,اميرالبار,اميرالبحر
amirulmukminin,اميرالمؤنين,اميرالمؤمنين
ammabakdahu,امابده,امابعده
ammabakdu,امابد,امابعد
ammonium,اممونيوم,اممونيا
ampel,امڤل,امڤيل
ampere,امڤيري,امڤيئر
amsal,امثل,امثال
ana,ان,انا
anaglif,اناݢليف,انݢليف
anakanda,اناکندا,انقندا
analgesia,انلݢسيا,انلݢيسيا
anarkisme,انارکيسمى,انرکيسمى
anasir,عناسير,عناصير
anbia,انبيا,انبياء
mengancak-ancak,مڠانچق-انچق,مڠنچق-انچق
andai-andaian,انداي٢,انداي-انداين
keterandalan,کترندلن,کتراندلن
androesium,اندروءيسيوم,اندرويسيوم
diangan-angankan,داڠن٢کن,داڠن-اڠنکن
mengangaukan,مڠاڠاوکن,مڠاڠوکن
anggukan,اڠݢوکن,اڠݢوقن
anggup-anggip,اڠݢوڤ٢,اڠݢوڤ-اڠݢيڤ
angin-anginan,اڠين٢,اڠين-اڠينن
angin-anginkan,اڠين٢,اڠين-اڠينکن
berangka-angka,براڠک٢,براڠکا-اڠک
keberangkatan,کبرڠکتن,کبراڠکتن
memberangkatkan,ممڤرڠکتکن,ممڤراڠکتکن
perangkatan,ڤرڠکتن,ڤراڠکتن
seperangkat,سڤرڠکت,سڤراڠکت
perangkawan,ڤرڠکاون,ڤراڠکاون
angsang,اڠسڠ,اڠساڠ
angsena,اڠسينا,اڠسنا
anjakan,انجقن,انجاقن
anjangkarya,انجاڠکاريا,انجڠکاريا
berperanjung,برڤرنجوڠ,برڤرانجوڠ
anoksemia,انوکسميا,اناوکسيميا
anta,انتا,انت
antaberanta,انتابرنتا,انتابرانتا
antaboga,انتابوݢ,انتابو
perantara,ڤرنتارا,ڤرانتارا
keantarabangsaan,کانتارابڠاءن,کانتارابڠساءن
mengantarabangsakan,مڠنتارابڠکاکن,مڠنتارابڠساکن
pengantarabangsaan,ڤڠنتارابڠاءن,ڤڠنتارابڠساءن
antelop,انتلوڤ,انتيلوڤ
antero,انترو,انتيرو
seantero,سانترو,سانتيرو
anti,انت,انتي
antiemetik,انتييميتيک,انتيايميتيک
antik,انتيق,انتيک
keantikan,کانتيقن,کانتيکن
antikuiti,انتيکوءيتي,انتيکويتي
antimalaria,انتيمالاريا,انتيملاريا
menganting,مڠانتيڠ,مڠنتيڠ
antinovel,انتينوۏل,انتينوۏيل
antroposentrisme,انتروڤوسينيتريسمى,انتروڤوسينتريسمى
mengapa-apai,مڠاڤا-اڤاي,مڠاڤا-اڤاءي
apabila,اڤبيلا,اڤابيلا
apatetik,اڤاتيتيک,اڤتيتيک
apati,اڤتي,اڤاتي
aperitif,اڤريتيف,اڤيريتيف
apes,اڤيس,اڤس
mengapresiasi,مڠاڤريسياسي,مڠڤريسياسي
berapung-apung,براڤوڠ٢,براڤوڠ-اڤوڠ
arabes,ارابس,عرابيس
aria,اريا,اراي
arai-jemarai,اراي٢,اراي-جماراي
arakan,اراکن,ارقن
arak-arakan,ارق-ارقن,ارق-ارڤن
aral,ارل,عرل
diaralkan,دارلکن,دعرلکن
mengaralkan,مڠارلکن,مڠعرلکن
aram-temaram,ارم٢,ارم-تمارم
arbaa,ارباع,اربع
arbitrari,اربيتراي,اربيتراري
ardi,اردي,ارض
are,اري,ارا
arham,ارهام,ارهم
mengarifi,مڠاريفي,مڠعاريفي
mengarifkan,مڠاريفکن,مڠعاريفکن
arifin,اريفين,عاريفين
arkaik,ارکايق,ارکاءيک
arkan,ارکن,ارکان
arketaip,ارکتاءيڤ,ارکيتاءيڤ
arkian,ارکيان,ارکين
aromaterapi,اروماتراڤي,اروماتيراڤي
ar-rahn,اررن,الرهن
arsenik,ارسنيق,ارسنيک
arsenium,ارسينيوم,ارسنيوم
arsyad,ارشاد,ارشد
arteriol,ارتيريول,ارتريول
arteriosklerosis,ارتيريوسکلروسيس,ارتريوسکليروسيس
articok,ارتيچوق,ارتيچوک
arud,ارود,عروض
arwah,ارواه,ارواح
beras,براس,برءس
mengasa,مڠاسا,مڠاس
asah,اسه,اصح
asahhu,اسه,اصح
asalan,اصلان,اصلن
asal-muasal,اصل-مواسل,اصل-مواصل
seasal,ساسل,ساصل
asar,اسر,اثار
asar,اسر,عصر
pengasasinatan,ڤڠاساسينتن,ڤڠاساسيناتن
asetaldehid,اسيتلديهيد,اسيتلدهيد
asetat,استت,اسيتت
asfar,اسفر,اصفر
asi,اسي,عاصي
asian,اسيان,اسين
askal,اسکل,اثقال
asli,اسلي,اصلي
keaslian,کاسلين,کاصلين
asmak,اسمق,اسماء
asmaulhusna,اسمالحسنى,اسماءالحسنى
asnad,اسند,اسناد
asnaf,اسناف,اصناف
pengasramaan,ڤڠاسراماءن,ڤڠسراماءن
assalamualaikum,اسلالمؤالعم,السلامعليکم
asteroid,استروءيد,استيروءيد
astringen,استريڠن,استرينݢن
astrofizik,استروفيزيک,استروفيذيک
aswad,اسواد,اسود
asyhadu,اشهدو,اشهد
keasyik-asyikan,کعاشيق-اشيقن,کعاشيق-عاشيقن
mengatap,مڠاتڤ,مڠاتڤکن
atar,اتر,عطر
atas-mengatasi,اتس-مڠاتاسي,اتس-مڠاتسي
diatasi,دياتسي,داتسي
atawa,اتاوا,اتاو
atbak,اتبق,اطباق
ateis,اتيئس,اتيئيس
ateisme,اتيئسمى,اتيئيسمى
atmosfera,اترموسفيرا,اتموسفيرا
aubad,عوبد,اءوبد
aula,اولى,اءولا
aulia,اوليا,اولياء
aurat,اءورت,عورة
autoritarianisme,اءوتوريتاريانياسيمى,اءوتوريتاريانيسمى
auzubillah,عوزبالله,اعوذبالله
avant-garde,اۏنت٢,اۏانت-ݢردى
awahama,اوهام,اواهام
berperawakan,برڤراواکن,برڤراوقن
pengawam,ڤڠاوم,ڤڠعوام
pengawaman,ڤڠاومن,ڤڠعوامن
awan,عوان,اون
award,اورد,اوارد
awda,اودا,اءودا
awur-awuran,اوور-اورن,اوور-اوورن
aya,اي,ايا
berayal-ayalan,برعيل-ايلن,برايل-ايلن
ayir,اير,ايير
azab,عذب,عذاب
azal,عزل,ازل
azali,عزلي,ازلي
keazalian,کعزالين,کازلين
azamat,عزامة,عظمة
azimut,عزيموت,ازيموت
azlak,عزلق,اذلق
ba,با,باء
bab,بب,باب
babad,ببد,بابد
membacai,ممباچاي,ممباچاءي
bad,باد,بد
membadai,ممباداءي,ممباداي
badaman,بادمن,بدامن
badani,باداني,بادني
badar,بادر,بدر
badari,بادري,بداري
