rumi	expected	predicted	source
adhoc	ايدهوک	ادهوچ	rules
afrikaner	افريکنر	افريکانر	rules
akaid	عقائد	اکاءيد	rules
al-hai	الحي	الهاي	mixed
al-rahnu	الرهن	الرهنو	mixed
anhu	عنه	انهو	rules
antaboga	انتابو	انتابوݢ	rules
are	ارا	ارى	rules
arifin	عاريفين	اريفين	rules
asar	اثار | عصر	اسر	rules
barakah	برکة	باراکه	morph
basa	باس	باسا	rules
bazuka	بازوکا	بازوک	rules
beksa	بيقسا	بقسا	rules
belekek	بليکيق	بلکق	rules
bengkoknya	بيڠکوقڽ	بڠکوقڽ	morph
bepang	بيڤڠ	بڤڠ	morph
berpesak	برڤيسق	برڤسق	morph
biolingustik	بيوليڠݢوءيستيک	بيوليڠوستيق	rules
calet	چاليت	چالت	rules
cangkir	چاڠکير	چڠکير	rules
cemai	چماي	چيماي	morph
cencen	چينچين	چنچن	rules
cewi	چيوي	چوي	rules
czar	زر	چزر	rules
daisi	دايسي	داءيسي	rules
dakelin	دکلين	داکلين	rules
dekri	ديکري	دکري	rules
delegasi	ديليݢاسي	دلݢاسي	rules
diapakan	داڤکن	داڤاکن	morph
difardukan	دفرضوکن	دفرضاکن	morph
dijelikan	دجليکن	دجليقن	morph
diperuncing	دڤرونچيڠ	ديڤرونچيڠ	rules
direktori	ديريکتوري	دريکتوري	morph
direnyuk-renyukkan	درڽوق٢کن	درڽوق-رڽوقکن	mixed
diselempangkan	دسليمڤڠکن	دسلمڤڠکن	morph
disergah	دسرݢه	ديسرݢه	rules
diwacanakan	دواچانکن	دواچاناکن	morph
elemen	ايليمن	ايلمن	rules
embuai	امبواي	ايمبواي	rules
emper	ايمڤير	ايمڤر	rules
espritdecorps	ايسڤريدکو	ايسڤريتدچورڤس	rules
firaun	فرعون	فيراءون	rules
furuk	فروع	فوروق	rules
ghulam	غلام	غولم	rules
ghurub	غروب	غوروب	rules
glosem	ݢلوسيم	ݢلوسم	rules
hadir	حاضير	هادير	rules
hadrah	حضره	هدره	rules
haiwanat	حيوانة	هاءيوانت	rules
hak	حق	هق	rules
heliotropisme	هيليوتروڤيسمى	هليوتروڤيسمى	rules
internet	اينترنيت	اينترنت	rules
jangkang	جاڠکڠ	جڠکڠ	rules
jiwang	جيواڠ	جيوڠ	rules
