fold	rumi	expected	predicted	source
1	sakhawat	سخاوة	ساخاوت	rules
1	menyama-nyamai	مڽاما-ڽاماي	مڽام-ڽاماي	mixed
1	ergosterol	ارݢوسترول	ايرݢوسترول	rules
1	dogmatik	دوݢماتيک	دوݢماتيق	rules
1	psikik	ڤسيکيک	ڤسيکيق	rules
1	redik	ريديق	رديق	rules
1	mengasid	مڠاسيد	مڠقاصد	morph
1	geger	ݢيݢير	ݢݢر	rules
1	perfeksionisme	ڤرفيکسيونيسمى	ڤرفکسيونيسمى	rules
1	dekar	ديکر	دکر	rules
1	atletik	اتليتيک	اتلتيق	rules
1	repes	ريڤيس	رڤس	rules
1	epik	ايڤيک	ايڤيق	rules
1	didewasakan	دديواسکن	دديواساکن	morph
1	paten	ڤاتين	ڤاتن	rules
1	menyayukan	مڽايوکن	مڽيوقن	morph
1	pengasar	ڤڠاسر	ڤنݢاسر	morph
1	polipeptida	ڤوليڤيڤتيدا	ڤوليڤڤتيدا	rules
1	implementasi	ايمڤليمينتاسي	ايمڤلمنتاسي	rules
1	syurah	شراح	شوره	rules
1	sihir	سيحير	سيهير	rules
1	telepati	تيليڤاتي	تلڤاتي	rules
1	ceper	چيڤير	چڤر	rules
1	biadat	بيعادة	بيادت	rules
1	kepriayian	کڤريايين	کڤرياييان	rules
1	kama	کام	کاما	rules
1	punya	ڤوڽا	ڤوڽ	rules
1	kek	کيک	کق	rules
1	heksa	هيکسا	هقسا	rules
1	bitumen	بيتومين	بيتومن	rules
1	pelebaran	ڤليبرن	ڤلبارن	morph
1	pepunden	ڤڤوندين	ڤڤوندن	rules
1	nostalgik	نوستلݢيک	نوستلݢيق	rules
1	tahkim	تحکيم	تهکيم	rules
1	heret	هيريت	هرت	rules
1	narapati	نراڤاتي	ناراڤاتي	rules
1	hedonis	هيدونيس	هدونيس	rules
1	mengondokkan	مڠوندوقکن	منݢوندوقکن	morph
1	rasmi	راسمي	رسمي	rules
1	pawana	ڤاوان	ڤاوانا	rules
1	pepet	ڤڤت | ڤيڤيت	ڤڤيت	morph
1	sepet	سڤت | سيڤيت	سڤيت	morph
1	necis	نيچيس	نچيس	rules
1	penstardardan	ڤنستندردن	ڤنستردردن	rules
1	setikan	ستيکن	ستيقن	morph
1	bakteria	بکتيريا	بکتريا	rules
1	menyebuk	مڽبوت	مڽبوق	morph
1	mengalang	مڠالڠ	منݢالڠ	morph
1	al-wahid	الواحد	الواهد	mixed
1	santak	سانتق	سنتق	rules
1	galanggasi	ݢال-ڠ-ݢاسي	ݢالڠݢاسي	rules
1	dibelek-belek	دبيليق-بيليق	دبيليق-بلق	mixed
1	elektrifikasi	ايليکتريفيکاسي	ايلکتريفيکاسي	rules
